Product,Link,Pricing
Amazon API Gateway,https://aws.amazon.com/api-gateway/,https://aws.amazon.com/api-gateway/pricing/
Amazon AppStream 2.0,https://aws.amazon.com/appstream2/,https://aws.amazon.com/appstream2/pricing/
Amazon Augmented AI,https://aws.amazon.com/augmented-ai/,https://aws.amazon.com/augmented-ai/pricing/
Amazon Aurora DSQL,https://aws.amazon.com/rds/aurora/dsql/,https://aws.amazon.com/rds/aurora/dsql/pricing/
Amazon Bedrock,https://aws.amazon.com/bedrock/,https://aws.amazon.com/bedrock/pricing/
Amazon CloudFront,https://aws.amazon.com/cloudfront/,https://aws.amazon.com/cloudfront/pricing/
Amazon CloudWatch,https://aws.amazon.com/cloudwatch/,https://aws.amazon.com/cloudwatch/pricing/
Amazon CodeBuild,https://aws.amazon.com/codebuild/,https://aws.amazon.com/codebuild/pricing/
Amazon CodeCatalyst,https://aws.amazon.com/codecatalyst/,https://aws.amazon.com/codecatalyst/pricing/
Amazon Cognito,https://aws.amazon.com/cognito/,https://aws.amazon.com/cognito/pricing/
Amazon Comprehend,https://aws.amazon.com/comprehend/,https://aws.amazon.com/comprehend/pricing/
Amazon Detective,https://aws.amazon.com/detective/,https://aws.amazon.com/detective/pricing/
Amazon DevOps Guru,https://aws.amazon.com/devops-guru/,https://aws.amazon.com/devops-guru/pricing/
Amazon DocumentDB,https://aws.amazon.com/documentdb/,https://aws.amazon.com/documentdb/pricing/
Amazon DynamoDB,https://aws.amazon.com/dynamodb/,https://aws.amazon.com/dynamodb/pricing/
Amazon EC2,https://aws.amazon.com/ec2/,https://aws.amazon.com/ec2/pricing/
Amazon ECS,https://aws.amazon.com/ecs/,https://aws.amazon.com/ecs/pricing/
Amazon EFS,https://aws.amazon.com/efs/,https://aws.amazon.com/efs/pricing/
Amazon EBS,https://aws.amazon.com/ebs/,https://aws.amazon.com/ebs/pricing/
Amazon ECR,https://aws.amazon.com/ecr/,https://aws.amazon.com/ecr/pricing/
Amazon ECS Anywhere,https://aws.amazon.com/ecs/anywhere/,https://aws.amazon.com/ecs/anywhere/pricing/
Amazon ElastiCache,https://aws.amazon.com/elasticache/,https://aws.amazon.com/elasticache/pricing/
Amazon GuardDuty,https://aws.amazon.com/guardduty/,https://aws.amazon.com/guardduty/pricing/
Amazon Inspector,https://aws.amazon.com/inspector/,https://aws.amazon.com/inspector/pricing/
Amazon Keyspaces,https://aws.amazon.com/keyspaces/,https://aws.amazon.com/keyspaces/pricing/
Amazon Lex,https://aws.amazon.com/lex/,https://aws.amazon.com/lex/pricing/
Amazon Lightsail,https://aws.amazon.com/lightsail/,https://aws.amazon.com/lightsail/pricing/
Amazon Macie,https://aws.amazon.com/macie/,https://aws.amazon.com/macie/pricing/
Amazon MemoryDB,https://aws.amazon.com/memorydb/,https://aws.amazon.com/memorydb/pricing/
Amazon MQ,https://aws.amazon.com/amazon-mq/,https://aws.amazon.com/amazon-mq/pricing/
Amazon Neptune,https://aws.amazon.com/neptune/,https://aws.amazon.com/neptune/pricing/
Amazon OpenSearch Service,https://aws.amazon.com/opensearch-service/,https://aws.amazon.com/opensearch-service/pricing/
Amazon Personalize,https://aws.amazon.com/personalize/,https://aws.amazon.com/personalize/pricing/
